NPI,PROVIDER_NAME,SPECIALTY,PRACTICE,ADDRESS,PHONE,ACCEPTING_NEW_PATIENTS
1355255347,"Martinez, James MD",Family Medicine,Martinez Clinic,"1581 Health Way, Clinton, MI",(805) 734-4654,N
1026578918,"Davis, Robert MD",Endocrinology,Davis Health Partners,"2496 Health Way, Fairview, TX",(828) 976-8711,N
1666645825,"Rodriguez, John MD",Pediatrics,Rodriguez Clinic,"7770 Health Way, Springfield, IL",(293) 570-1390,N
1657410042,"Nguyen, Kevin MD",Behavioral Health,Nguyen Clinic,"7548 Health Way, Riverside, CA",(722) 459-5400,Y
1710767444,"Jones, Priya MD",Behavioral Health,Jones Health Partners,"1943 Health Way, Georgetown, OH",(932) 751-8047,Y
1660651802,"Kim, Kevin MD",Behavioral Health,Kim Medical Group,"2595 Health Way, Clinton, MI",(914) 389-8904,N
1096617850,"Anderson, Wei MD",Dermatology,Anderson Medical Group,"3610 Health Way, Franklin, NC",(912) 769-9023,N
1484028984,"Silva, Priya MD",Orthopedics,Silva Medical Group,"4872 Health Way, Riverside, CA",(744) 458-3708,Y
1895627154,"Johnson, Fatima MD",Orthopedics,Johnson Medical Group,"8693 Health Way, Fairview, TX",(909) 297-1451,Y
1711868255,"Martinez, Barbara MD",Internal Medicine,Martinez Medical Group,"600 Health Way, Fairview, TX",(405) 758-8716,N
1984868569,"Chen, Elizabeth MD",OB/GYN,Chen Health Partners,"2930 Health Way, Georgetown, OH",(557) 765-1889,Y
1609267313,"Kim, David MD",Pediatrics,Kim Clinic,"7041 Health Way, Franklin, NC",(857) 755-4048,N
1584634832,"Johnson, Barbara MD",Pediatrics,Johnson Health Partners,"4620 Health Way, Fairview, TX",(497) 250-5474,N
1563963508,"Williams, Anita MD",Behavioral Health,Williams Health Partners,"3264 Health Way, Fairview, TX",(418) 921-8665,Y
1588708714,"Davis, James MD",Internal Medicine,Davis Health Partners,"7671 Health Way, Riverside, CA",(214) 332-5775,N
1732413719,"Garcia, Robert MD",Dermatology,Garcia Health Partners,"2219 Health Way, Fairview, TX",(584) 865-7091,Y
1905946066,"Nguyen, Robert MD",Dermatology,Nguyen Clinic,"3142 Health Way, Clinton, MI",(298) 802-7343,Y
1640602927,"Garcia, Barbara MD",Dermatology,Garcia Medical Group,"117 Health Way, Fairview, TX",(238) 326-1528,Y
1465297336,"Williams, Kevin MD",Dermatology,Williams Health Partners,"7395 Health Way, Georgetown, OH",(979) 209-6807,Y
1144992223,"Chen, Sara MD",Behavioral Health,Chen Medical Group,"9997 Health Way, Georgetown, OH",(977) 350-4542,N
1017383312,"Patel, Noah MD",Internal Medicine,Patel Health Partners,"1665 Health Way, Fairview, TX",(350) 572-9383,Y
1325344357,"Rodriguez, Emma MD",Dermatology,Rodriguez Health Partners,"5826 Health Way, Fairview, TX",(486) 565-1444,N
1699908854,"Miller, Fatima MD",Orthopedics,Miller Health Partners,"929 Health Way, Georgetown, OH",(936) 216-2382,Y
1610106227,"Kim, Carlos MD",Pediatrics,Kim Health Partners,"958 Health Way, Franklin, NC",(752) 616-2506,N
1194532745,"Johnson, Barbara MD",Endocrinology,Johnson Clinic,"1514 Health Way, Georgetown, OH",(432) 853-8401,Y
1428592802,"Davis, James MD",Dermatology,Davis Health Partners,"8648 Health Way, Riverside, CA",(885) 441-9344,N
1337040870,"Rodriguez, Elizabeth MD",Cardiology,Rodriguez Clinic,"426 Health Way, Fairview, TX",(430) 906-8430,Y
1985045490,"Jones, David MD",Pediatrics,Jones Clinic,"6117 Health Way, Riverside, CA",(946) 811-4360,Y
1075425632,"Miller, Barbara MD",Orthopedics,Miller Clinic,"4231 Health Way, Fairview, TX",(325) 816-7340,Y
1199653595,"Rodriguez, Sara MD",Internal Medicine,Rodriguez Medical Group,"9815 Health Way, Franklin, NC",(358) 695-4542,N
1553985715,"Miller, Barbara MD",OB/GYN,Miller Clinic,"1813 Health Way, Riverside, CA",(313) 207-2755,N
1329012147,"Rodriguez, Mary MD",Endocrinology,Rodriguez Clinic,"8315 Health Way, Franklin, NC",(976) 582-9952,N
1923159039,"Chen, Noah MD",Internal Medicine,Chen Clinic,"3171 Health Way, Fairview, TX",(343) 318-5533,N
1777203685,"Kim, Sara MD",Pediatrics,Kim Clinic,"3166 Health Way, Franklin, NC",(423) 229-1348,N
1264958847,"Garcia, Priya MD",Orthopedics,Garcia Health Partners,"3001 Health Way, Georgetown, OH",(901) 579-3947,N
1996415922,"Johnson, Robert MD",Orthopedics,Johnson Medical Group,"5410 Health Way, Georgetown, OH",(578) 948-2214,N
1304517098,"Smith, Patricia MD",Cardiology,Smith Medical Group,"8396 Health Way, Clinton, MI",(222) 888-7585,Y
1036839002,"Davis, Carlos MD",Dermatology,Davis Health Partners,"4009 Health Way, Fairview, TX",(399) 846-4522,N
